"","network","type","ss","pval"
"1","M_PL_001","HP_S",0.906364069174512,0
"2","M_PL_002","HP_S",0.878269944682297,0
"3","M_PL_003","HP_S",0.822746932505087,0
"4","M_PL_004","HP_S",0.969120383963001,0.094
"5","M_PL_005","HP_S",0.959560233820588,0
"6","M_PL_006","HP_S",0.923934039200552,0
"7","M_PL_007","HP_S",0.946806669818474,0.131
"8","M_PL_008","HP_S",0.941257004288143,0.007
"9","M_PL_009","HP_S",0.965173284015685,0.641
"10","M_PL_010","HP_S",0.979034184200219,0.003
"11","M_PL_011","HP_S",0.979732206192466,0.314
"12","M_PL_012","HP_S",0.927891562922605,0.002
"13","M_PL_013","HP_S",0.937756531266969,0.407
"14","M_PL_014","HP_S",0.938884200076516,0
"15","M_PL_015","HP_S",0.977076794237845,0
"16","M_PL_016","HP_S",0.941687145197856,0
"17","M_PL_017","HP_S",0.958028171680528,0.007
"18","M_PL_018","HP_S",0.955211324120793,0.002
"19","M_PL_019","HP_S",0.957962182952177,0.012
"20","M_PL_020","HP_S",0.954697753166794,0
"21","M_PL_021","HP_S",0.961229523000866,0
"22","M_PL_022","HP_S",0.81729923684628,0
"23","M_PL_023","HP_S",0.882256360432445,0.001
"24","M_PL_024","HP_S",0.833411968986368,0.004
"25","M_PL_025","HP_S",0.963849443266441,0.019
"26","M_PL_026","HP_S",0.944120278311647,0.108
"27","M_PL_027","HP_S",0.932667939520245,0.087
"28","M_PL_028","HP_S",0.950345616947737,0
"29","M_PL_029","HP_S",0.946744751996499,0
"30","M_PL_030","HP_S",0.890790576395652,0.002
"31","M_PL_031","HP_S",0.938489985630606,0.015
"32","M_PL_032","HP_S",0.932029641499552,0.004
"33","M_PL_033","HP_S",0.937426518642093,0
"34","M_PL_034","HP_S",0.933224972110362,0
"35","M_PL_035","HP_S",0.94209229679639,0
"36","M_PL_036","HP_S",0.735912371025181,0.043
"37","M_PL_037","HP_S",0.902310763559167,0.082
"38","M_PL_038","HP_S",0.937140525339214,0.836
"39","M_PL_039","HP_S",0.910940450547609,0
"40","M_PL_040","HP_S",0.914610413497912,0.074
"41","M_PL_041","HP_S",0.94096899278281,0.004
"42","M_PL_042","HP_S",0.958589672689892,0.66
"43","M_PL_043","HP_S",0.955971012150612,0.017
"44","M_PL_045","HP_S",0.869028869066862,0.194
"45","M_PL_046","HP_S",0.971177308330739,0.084
"46","M_PL_047","HP_S",0.981309490074274,0.002
"47","M_PL_048","HP_S",0.981835834708509,0
"48","M_PL_049","HP_S",0.967400717389076,0
"49","M_PL_050","HP_S",0.923799605412351,0.464
"50","M_PL_051","HP_S",0.969400849362563,0.239
"51","M_PL_052","HP_S",0.924473581673093,0.012
"52","M_PL_053","HP_S",0.943079603524931,0
"53","M_PL_058","HP_S",0.962480728417056,0
"54","M_PL_059","HP_S",0.964027918972503,0.463
"55","M_PL_001","PH_S",0.906364069174512,0
"56","M_PL_002","PH_S",0.878269944682297,0
"57","M_PL_003","PH_S",0.822746932505087,0
"58","M_PL_004","PH_S",0.969120383963001,0.079
"59","M_PL_005","PH_S",0.959560233820588,0
"60","M_PL_006","PH_S",0.923934039200551,0
"61","M_PL_007","PH_S",0.946806669818475,0.137
"62","M_PL_008","PH_S",0.941257004288143,0.01
"63","M_PL_009","PH_S",0.965173284015685,0.628
"64","M_PL_010","PH_S",0.979034184200219,0.003
"65","M_PL_011","PH_S",0.979732206192466,0.348
"66","M_PL_012","PH_S",0.927891562922605,0.001
"67","M_PL_013","PH_S",0.937756531266969,0.395
"68","M_PL_014","PH_S",0.938884200076516,0
"69","M_PL_015","PH_S",0.977076794237844,0
"70","M_PL_016","PH_S",0.941687145197856,0
"71","M_PL_017","PH_S",0.958028171680528,0.005
"72","M_PL_018","PH_S",0.955211324120793,0.003
"73","M_PL_019","PH_S",0.957962182952178,0.008
"74","M_PL_020","PH_S",0.954697753166794,0
"75","M_PL_021","PH_S",0.961229523000866,0
"76","M_PL_022","PH_S",0.81729923684628,0
"77","M_PL_023","PH_S",0.882256360432445,0
"78","M_PL_024","PH_S",0.833411968986368,0.006
"79","M_PL_025","PH_S",0.963849443266441,0.017
"80","M_PL_026","PH_S",0.944120278311647,0.119
"81","M_PL_027","PH_S",0.932667939520244,0.069
"82","M_PL_028","PH_S",0.950345616947737,0
"83","M_PL_029","PH_S",0.946744751996499,0
"84","M_PL_030","PH_S",0.890790576395651,0.002
"85","M_PL_031","PH_S",0.938489985630606,0.009
"86","M_PL_032","PH_S",0.932029641499552,0.003
"87","M_PL_033","PH_S",0.937426518642092,0
"88","M_PL_034","PH_S",0.933224972110361,0
"89","M_PL_035","PH_S",0.942092296796389,0.002
"90","M_PL_036","PH_S",0.735912371025181,0.043
"91","M_PL_037","PH_S",0.902310763559167,0.094
"92","M_PL_038","PH_S",0.937140525339214,0.823
"93","M_PL_039","PH_S",0.910940450547609,0
"94","M_PL_040","PH_S",0.914610413497911,0.083
"95","M_PL_041","PH_S",0.94096899278281,0.007
"96","M_PL_042","PH_S",0.958589672689892,0.65
"97","M_PL_043","PH_S",0.955971012150612,0.021
"98","M_PL_045","PH_S",0.869028869066862,0.211
"99","M_PL_046","PH_S",0.971177308330739,0.074
"100","M_PL_047","PH_S",0.981309490074274,0.001
"101","M_PL_048","PH_S",0.981835834708509,0
"102","M_PL_049","PH_S",0.967400717389075,0
"103","M_PL_050","PH_S",0.923799605412351,0.47
"104","M_PL_051","PH_S",0.969400849362563,0.286
"105","M_PL_052","PH_S",0.924473581673093,0.009
"106","M_PL_053","PH_S",0.943079603524931,0
"107","M_PL_058","PH_S",0.962480728417056,0
"108","M_PL_059","PH_S",0.964027918972503,0.472
"109","M_PL_001","PH_NS",7289871.13006272,0
"110","M_PL_002","PH_NS",2367985.12980338,0
"111","M_PL_003","PH_NS",1009058.63707331,0
"112","M_PL_004","PH_NS",6138884.5006095,0.079
"113","M_PL_005","PH_NS",23625115.611295,0
"114","M_PL_006","PH_NS",2502744.16874618,0
"115","M_PL_007","PH_NS",1748374.30101066,0.137
"116","M_PL_008","PH_NS",1827540.20757551,0.01
"117","M_PL_009","PH_NS",5881354.67419738,0.628
"118","M_PL_010","PH_NS",11035978.6888387,0.003
"119","M_PL_011","PH_NS",2970815.91107661,0.348
"120","M_PL_012","PH_NS",2773130.72492142,0.001
"121","M_PL_013","PH_NS",96410.2419241812,0.395
"122","M_PL_014","PH_NS",3749257.33016474,0
"123","M_PL_015","PH_NS",91325113.1141401,0
"124","M_PL_016","PH_NS",9694092.89395888,0
"125","M_PL_017","PH_NS",2779088.87526218,0.005
"126","M_PL_018","PH_NS",4947446.27403992,0.003
"127","M_PL_019","PH_NS",5538853.37005843,0.008
"128","M_PL_020","PH_NS",4115606.52926918,0
"129","M_PL_021","PH_NS",17531942.6744301,0
"130","M_PL_022","PH_NS",1703458.85073778,0
"131","M_PL_023","PH_NS",1567912.09269733,0
"132","M_PL_024","PH_NS",711367.614638641,0.006
"133","M_PL_025","PH_NS",5017069.13640944,0.017
"134","M_PL_026","PH_NS",4255979.46825645,0.119
"135","M_PL_027","PH_NS",2151176.97408242,0.069
"136","M_PL_028","PH_NS",6753091.85113025,0
"137","M_PL_029","PH_NS",5020406.65049796,0
"138","M_PL_030","PH_NS",3289411.64295697,0.002
"139","M_PL_031","PH_NS",5774941.64393682,0.009
"140","M_PL_032","PH_NS",1945586.6628958,0.003
"141","M_PL_033","PH_NS",3027675.55763631,0
"142","M_PL_034","PH_NS",4637168.83460807,0
"143","M_PL_035","PH_NS",1961541.70859863,0.002
"144","M_PL_036","PH_NS",189479.798478028,0.052
"145","M_PL_037","PH_NS",884352.388368291,0.094
"146","M_PL_038","PH_NS",967656.745990757,0.823
"147","M_PL_039","PH_NS",1309019.95603292,0
"148","M_PL_040","PH_NS",1262705.62791291,0.083
"149","M_PL_041","PH_NS",1400362.73681096,0.007
"150","M_PL_042","PH_NS",454031.915792971,0.65
"151","M_PL_043","PH_NS",3361767.30796124,0.021
"152","M_PL_045","PH_NS",706165.136475286,0.211
"153","M_PL_046","PH_NS",2093029.5838549,0.074
"154","M_PL_047","PH_NS",8053399.86115314,0.001
"155","M_PL_048","PH_NS",12632739.4304618,0
"156","M_PL_049","PH_NS",12056125.2679333,0
"157","M_PL_050","PH_NS",874729.36215883,0.47
"158","M_PL_051","PH_NS",3980310.601628,0.286
"159","M_PL_052","PH_NS",2225443.63653411,0.009
"160","M_PL_053","PH_NS",14614486.2580194,0
"161","M_PL_058","PH_NS",5716147.33370159,0
"162","M_PL_059","PH_NS",570177.243736423,0.472
"163","M_PL_001","HP_NS",43334753.5289381,0
"164","M_PL_002","HP_NS",18836022.3651185,0
"165","M_PL_003","HP_NS",7144428.17803016,0
"166","M_PL_004","HP_NS",28874682.4982226,0.094
"167","M_PL_005","HP_NS",164855168.860104,0
"168","M_PL_006","HP_NS",22120173.978392,0
"169","M_PL_007","HP_NS",12415480.1835789,0.131
"170","M_PL_008","HP_NS",25503467.6955782,0.007
"171","M_PL_009","HP_NS",29161209.5975439,0.641
"172","M_PL_010","HP_NS",42409657.8147382,0.003
"173","M_PL_011","HP_NS",44675945.2451,0.314
"174","M_PL_012","HP_NS",21267287.1885993,0.002
"175","M_PL_013","HP_NS",8729278.19963537,0.407
"176","M_PL_014","HP_NS",19971667.6260848,0
"177","M_PL_015","HP_NS",514462787.817371,0
"178","M_PL_016","HP_NS",61751150.4258902,0
"179","M_PL_017","HP_NS",16394579.4842632,0.007
"180","M_PL_018","HP_NS",44847723.9902115,0.002
"181","M_PL_019","HP_NS",35011961.643141,0.012
"182","M_PL_020","HP_NS",38422356.3100908,0
"183","M_PL_021","HP_NS",130648173.804034,0
"184","M_PL_022","HP_NS",10660213.5042699,0
"185","M_PL_023","HP_NS",21546654.0763324,0.001
"186","M_PL_024","HP_NS",2435930.92281505,0.004
"187","M_PL_025","HP_NS",18207401.06098,0.019
"188","M_PL_026","HP_NS",28520631.1525833,0.108
"189","M_PL_027","HP_NS",13635588.4770357,0.087
"190","M_PL_028","HP_NS",53261587.4596361,0
"191","M_PL_029","HP_NS",42834162.4167375,0
"192","M_PL_030","HP_NS",34139473.8482166,0.002
"193","M_PL_031","HP_NS",61390737.4075918,0.015
"194","M_PL_032","HP_NS",8397881.26366374,0.004
"195","M_PL_033","HP_NS",20857207.6895226,0
"196","M_PL_034","HP_NS",79130762.3341455,0
"197","M_PL_035","HP_NS",84049920.5927159,0
"198","M_PL_036","HP_NS",781738.811828713,0.043
"199","M_PL_037","HP_NS",7639323.4630638,0.082
"200","M_PL_038","HP_NS",9128264.12363147,0.836
"201","M_PL_039","HP_NS",6606644.51925639,0
"202","M_PL_040","HP_NS",51812190.314044,0.074
"203","M_PL_041","HP_NS",99566456.9715732,0.004
"204","M_PL_042","HP_NS",3889745.31439723,0.66
"205","M_PL_043","HP_NS",32598943.2947292,0.017
"206","M_PL_045","HP_NS",6022791.24464311,0.194
"207","M_PL_046","HP_NS",17275161.9709177,0.084
"208","M_PL_047","HP_NS",63741353.1246627,0.002
"209","M_PL_048","HP_NS",105466555.923035,0
"210","M_PL_049","HP_NS",92245014.3571759,0
"211","M_PL_050","HP_NS",9378829.63466772,0.464
"212","M_PL_051","HP_NS",29993507.9828423,0.239
"213","M_PL_052","HP_NS",11611905.273431,0.012
"214","M_PL_053","HP_NS",91375890.108404,0
"215","M_PL_058","HP_NS",43465979.3054274,0
"216","M_PL_059","HP_NS",1488420.21036444,0.463
